#,,,,,Bossou,Tai_Forest,Gombe,Mahale_M-group,Mahale K-group ,Kibale Forest,Budongo Forest,
#,,,,,Guinea,Guinea,Tanzania,Tanzania,Tanzania,Uganda,Uganda,
#,,,,,verus,verus,schweinfurthii,schweinfurthii,schweinfurthii,schweinfurthii,schweinfurthii,
behavior.group,group.i,behavior.i,behavior.type,behavior,Bs,Ta,Go,Ma,Mk,Kib,Bd,comments
D,25,51,exploitation of leaf properties,"Leaf-dab (leaf dabbed on wound, examined)",–,+,+,–,–,C,–,
D,26,52,exploitation of leaf properties,Leaf-groom (intense ‘grooming’ of leaves),–,–,C,C,C,C,+,
D,27,53,exploitation of leaf properties,"Leaf-clip, mouth (rip parts off leaf, with mouth)",C,C,–,C,C,H,C,
D,28,54,exploitation of leaf properties,"Leaf-clip, fingers (rip leaf with fingers)",–,H,–,+,–,H,C,
D,29,55,exploitation of leaf properties,"Leaf-strip (rip leaves off stem, as threat)",+,–,H,+,–,H,–,
D,30,56,exploitation of leaf properties,Leaf-squash (squash ectoparasite on leaf),–,–,H,?,?,–,–,
D,31,57,exploitation of leaf properties,Leaf-inspect (inspect ectoparasite on hand),–,–,+,?,?,–,C,
D,32,58,grooming,Index-hit (squash ectoparasite on arm),–,C,+,–,–,–,–,
D,33,59,grooming,"Hand-clasp (clasp arms overhead, groom)",–,H,–,C,C,C,–,
D,34,60,attention-getting,Knuckle-knock (knock to attract attention),+,C,H,C,C,–,–,
D,35,61,attention-getting,"Branch din (bend, release saplings to warn)",–,–,–,–,–,–,–,
D,36,62,attention-getting,"Branch-slap (slap branch, for attention)",C,C,–,+,–,–,C,
D,37,63,attention-getting,Stem pull-through (pull stems noisily),C,–,+,H,–,H,–,
D,38,64,attention-getting,Shrub-bend (squash stems underfoot),H,–,–,C,–,–,C,
D,39,65,other,Rain dance (slow display at start of rain),–,H,C,C,C,C,H,
